run_id,date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency
1,2025-12-09,Normal,4,3.19,2.8,0.79,0.73,0.756,3.75,4.03,0.61,0.84,0.896,0.71,0.77,0.58,0.89,0.897,4.37,4.25,0.97,0.94,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116
2,2025-12-10,Efficient,8,4.25,4.34,0.42,0.76,0.785,0.64,0.87,0.2,0.85,0.859,1.97,2.41,0.68,1.0,1.138,4.84,6.01,0.88,0.77,1.193,2.41,2.73,0.86,0.79,1.113,4.62,6.29,0.74,0.79,1.194,3.5,4.31,0.57,0.89,1.04,1.65,1.58,0.39,0.69,0.591,,,,,,,,,,,1.405
3,2025-12-11,Normal,5,2.35,2.13,0.77,0.79,0.792,4.68,4.35,0.67,0.86,0.783,4.13,4.0,0.78,0.84,0.863,4.18,3.98,0.64,0.83,0.78,4.74,3.41,0.67,0.87,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,0.991
4,2025-12-12,Chill,3,3.63,1.78,0.5,0.85,0.529,2.89,1.73,0.78,0.73,0.654,4.11,2.95,0.83,1.0,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849
5,2025-12-13,Chill,5,1.49,1.0,0.76,0.8,0.707,2.29,1.4,0.49,0.97,0.62,1.53,0.77,0.63,0.8,0.552,1.35,0.72,0.59,0.73,0.549,4.49,3.21,0.41,0.85,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,0.867
6,2025-12-14,Normal,4,1.51,1.17,0.2,0.75,0.496,4.32,3.28,0.37,0.9,0.57,3.34,2.7,0.6,1.0,0.69,3.75,2.34,0.63,0.71,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867
7,2025-12-15,Chill,3,0.84,0.52,0.73,0.56,0.607,2.28,1.82,0.88,0.76,0.828,4.32,2.41,0.85,0.74,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924
8,2025-12-16,Efficient,8,2.76,3.22,0.61,0.75,0.975,0.92,1.0,0.2,0.63,0.656,3.16,2.72,0.47,0.77,0.581,0.88,0.77,0.2,0.78,0.507,4.89,5.17,0.85,0.73,1.033,1.28,1.17,0.53,0.78,0.641,1.76,2.17,0.35,0.82,0.882,3.91,3.35,0.23,0.79,0.51,,,,,,,,,,,1.22
9,2025-12-17,Efficient,8,2.59,2.88,0.41,1.0,0.909,3.58,3.92,0.38,0.88,0.842,3.08,2.78,0.58,0.62,0.597,1.73,1.62,0.66,0.71,0.692,3.45,3.47,0.2,0.68,0.637,4.71,4.08,0.77,0.76,0.693,3.06,3.3,0.38,0.84,0.821,1.57,1.77,0.85,0.7,1.071,,,,,,,,,,,1.203
10,2025-12-18,Normal,4,2.25,1.59,0.67,0.6,0.538,1.82,1.51,0.73,0.82,0.718,0.91,0.82,0.75,0.71,0.752,1.14,1.15,0.63,0.87,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
