feature,importance,abs_importance,category
efficiency_momentum,0.08977261366132547,0.08977261366132547,trend_features
eff_trend_short,0.060599041134459346,0.060599041134459346,trend_features
eff_rolling_mean,0.04865758010051017,0.04865758010051017,baseline_features
efficiency_rolling_mean_3d,0.04861372345061413,0.04861372345061413,lag_features
efficiency_lag1,0.01991288147818431,0.01991288147818431,lag_features
efficiency_lag2,0.01822602179318066,0.01822602179318066,lag_features
task_completion_rate,0.008354243012195554,0.008354243012195554,workload_features
completion_ratio,0.008354243012191911,0.008354243012191911,workload_features
planning_pressure,0.007623069085724409,0.007623069085724409,workload_features
completion_x_quality,0.0063952851810252604,0.0063952851810252604,interaction_features
task_quality_mean,0.0037838921218736853,0.0037838921218736853,quality_features
total_achieved,0.003523873494364753,0.003523873494364753,workload_features
improvement_streak,0.0034553389132927436,0.0034553389132927436,streak_features
is_chill_day,0.0030293655983512167,0.0030293655983512167,daytype_features
is_monday,0.002720418330524526,0.002720418330524526,temporal_features
avg_task_score,0.002522612249104334,0.002522612249104334,quality_features
momentum_direction,0.0023201714377658477,0.0023201714377658477,trend_features
streak_squared,0.0022735638488416885,0.0022735638488416885,streak_features
total_planned,0.002079049337938119,0.002079049337938119,workload_features
number_of_tasks,0.0020481958496311225,0.0020481958496311225,workload_features
day_of_week,0.0018064433911513075,0.0018064433911513075,temporal_features
is_efficient_day,0.0017526586912387726,0.0017526586912387726,daytype_features
consecutive_drops,0.0016093020177693205,0.0016093020177693205,streak_features
is_weekend,0.0015583330605393963,0.0015583330605393963,temporal_features
efficiency_rolling_std_3d,0.0015418732122290278,0.0015418732122290278,lag_features
momentum_squared,0.0014312235161530933,0.0014312235161530933,trend_features
avg_task_duration,0.0013882513512275228,0.0013882513512275228,workload_features
eff_trend_medium,0.001339313772968098,0.001339313772968098,trend_features
eff_daytype_mean,0.0013332544790528044,0.0013332544790528044,baseline_features
is_normal_day,0.0011924381707197331,0.0011924381707197331,daytype_features
efficiency_lag3,0.0011185904851232823,0.0011185904851232823,lag_features
eff_daytype_std,0.0007411871928892791,0.0007411871928892791,baseline_features
task_quality_std,0.0006482193810533468,0.0006482193810533468,quality_features
eff_rolling_std,0.0005996321680314579,0.0005996321680314579,baseline_features
is_friday,0.0005537604158294674,0.0005537604158294674,temporal_features
task_score_variance,0.0005334534979673857,0.0005334534979673857,quality_features
days_since_improvement,0.0002681712635968765,0.0002681712635968765,streak_features
importance_weighted_effort,0.0,0.0,priority_features
importance_effort_ratio,0.0,0.0,priority_features
workload_x_importance,0.0,0.0,interaction_features
