run_id,date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency,eff_rolling_mean,eff_rolling_std,eff_daytype_mean,eff_daytype_std,eff_trend_short,eff_trend_medium,eff_trend_direction,days_since_improvement,total_planned,total_achieved,completion_ratio,avg_task_score,task_score_variance,task_count_mean,task_count_std,workload_intensity_mean,completion_ratio_mean,completion_ratio_std,importance_weighted_effort,importance_effort_ratio,importance_effort_ratio_mean,importance_effort_ratio_std,task_quality_mean,task_quality_std,task_quality_mean_baseline,task_quality_std_baseline,quality_weighted_completion,planning_pressure,planning_pressure_mean,planning_pressure_std,overplanning_frequency,efficiency_volatility,efficiency_cv,efficiency_momentum,improvement_streak,daytype_performance_delta,daytype_percentile
1,2025-12-09,Normal,4,3.19,2.8,0.79,0.73,0.756,3.75,4.03,0.61,0.84,0.896,0.71,0.77,0.58,0.89,0.897,4.37,4.25,0.97,0.94,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116,,0.0,,0.0,,,stable,0,12.02,11.85,0.9858569051580699,0.8865000000000001,0.09906395240785958,,0.0,,,0.0,0.0,0.0,,0.0,0.85,0.08981462390204985,,,0.0,1.0143459915611814,,0.0,,0.0,0.0,,0,,81.81818181818183
2,2025-12-10,Efficient,8,4.25,4.34,0.42,0.76,0.785,0.64,0.87,0.2,0.85,0.859,1.97,2.41,0.68,1.0,1.138,4.84,6.01,0.88,0.77,1.193,2.41,2.73,0.86,0.79,1.113,4.62,6.29,0.74,0.79,1.194,3.5,4.31,0.57,0.89,1.04,1.65,1.58,0.39,0.69,0.591,,,,,,,,,,,1.405,,0.0,,0.0,0.28899999999999976,,stable,1,23.88,28.54,1.195142378559464,0.989125,0.22062860680985397,,0.0,,,0.0,0.0,0.0,,0.0,0.8175,0.09483067616998808,,,0.0,0.8367203924316748,,0.0,,0.0,0.0,,1,,85.13513513513513
3,2025-12-11,Normal,5,2.35,2.13,0.77,0.79,0.792,4.68,4.35,0.67,0.86,0.783,4.13,4.0,0.78,0.84,0.863,4.18,3.98,0.64,0.83,0.78,4.74,3.41,0.67,0.87,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,1.1706666666666667,0.21234484531848968,,0.0,-0.062499999999999965,-0.062499999999999965,declining,2,20.08,17.87,0.8899402390438248,0.7647999999999999,0.09508259567344594,5.666666666666667,2.081665999466133,18.66,1.0236465075871195,0.15607090385475486,0.0,0.0,0.0,0.0,0.8379999999999999,0.031144823004794858,0.8351666666666665,0.07193004102561093,0.0,1.123670956911024,0.9915791136346268,0.14482370200228364,0.0,0.21234484531848968,0.1813879658187554,-0.17966666666666675,0,,51.515151515151516
4,2025-12-12,Chill,3,3.63,1.78,0.5,0.85,0.529,2.89,1.73,0.78,0.73,0.654,4.11,2.95,0.83,1.0,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849,1.09025,0.23649013369130922,,0.0,-0.2780000000000002,-0.1215,declining,3,10.629999999999999,6.46,0.6077140169332079,0.6633333333333334,0.1392348136542486,5.0,2.160246899469287,16.6525,0.9196633849236416,0.2439030761363039,0.0,0.0,0.0,0.0,0.86,0.13527749258468685,0.841375,0.08776690391537992,0.0,1.6455108359133126,1.1550620442042983,0.3476913537296495,0.25,0.23649013369130922,0.21691367456208138,-0.24124999999999996,0,,6.666666666666667
5,2025-12-13,Chill,5,1.49,1.0,0.76,0.8,0.707,2.29,1.4,0.49,0.97,0.62,1.53,0.77,0.63,0.8,0.552,1.35,0.72,0.59,0.73,0.549,4.49,3.21,0.41,0.85,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,1.0455999999999999,0.2278460006232279,,0.0,-0.06200000000000021,-0.10540000000000019,declining,4,11.15,7.1,0.6367713004484304,0.6102000000000001,0.06473561616297473,5.0,1.8708286933869709,15.551999999999998,0.8630849680285995,0.24621559496366135,0.0,0.0,0.0,0.0,0.8299999999999998,0.08916277250063502,0.8391,0.08804607763243093,0.0,1.5704225352112677,1.238134142405692,0.3537963052261532,0.4,0.2278460006232279,0.2179093349495294,-0.17859999999999987,1,,16.666666666666664
6,2025-12-14,Normal,4,1.51,1.17,0.2,0.75,0.496,4.32,3.28,0.37,0.9,0.57,3.34,2.7,0.6,1.0,0.69,3.75,2.34,0.63,0.71,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,1.0158333333333334,0.21644252508845535,0.9913333333333334,0.12450033467157169,0.009000000000000044,-0.08574285714285712,declining,5,12.92,9.489999999999998,0.7345201238390092,0.5602499999999999,0.09437646246107481,4.833333333333333,1.7224014243685086,15.113333333333332,0.8416574939970011,0.22639018358333635,0.0,0.0,0.0,0.0,0.84,0.13441230102437304,0.8392499999999999,0.09577378153108795,0.0,1.361433087460485,1.2586839665814908,0.3204235199158753,0.5,0.21644252508845535,0.2130689336391685,-0.14883333333333337,2,-0.1243333333333334,27.27272727272727
7,2025-12-15,Chill,3,0.84,0.52,0.73,0.56,0.607,2.28,1.82,0.88,0.76,0.828,4.32,2.41,0.85,0.74,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924,1.0027142857142857,0.20060966600649646,0.88,0.03915354390090382,0.028500000000000053,-0.0634285714285714,declining,6,7.4399999999999995,4.75,0.6384408602150538,0.6943333333333334,0.11755991380284918,4.571428571428571,1.7182493859684491,14.017142857142856,0.8126265463138658,0.22047675799521482,0.0,0.0,0.0,0.0,0.6866666666666666,0.11015141094572202,0.8174523809523809,0.09782772859032139,0.0,1.566315789473684,1.3026313698518042,0.31476813669031195,0.5714285714285714,0.20060966600649646,0.20006662801616687,-0.07871428571428563,3,0.04400000000000004,23.333333333333332
8,2025-12-16,Efficient,8,2.76,3.22,0.61,0.75,0.975,0.92,1.0,0.2,0.63,0.656,3.16,2.72,0.47,0.77,0.581,0.88,0.77,0.2,0.78,0.507,4.89,5.17,0.85,0.73,1.033,1.28,1.17,0.53,0.78,0.641,1.76,2.17,0.35,0.82,0.882,3.91,3.35,0.23,0.79,0.51,,,,,,,,,,,1.22,1.0175714285714286,0.21381445004400196,,0.0,0.1764999999999999,-0.023964285714285723,declining,7,19.56,19.57,1.000511247443763,0.723125,0.2098594342479202,5.142857142857143,2.1157009420498154,15.094285714285714,0.8147200237832504,0.2224564489416818,0.0,0.0,0.0,0.0,0.75625,0.05755432216610669,0.8040595238095237,0.09321911405661522,0.0,0.9994890137966274,1.3005089444568678,0.3170775864896377,0.5714285714285714,0.21381445004400196,0.21012230104001314,0.2024285714285714,4,,64.86486486486487
9,2025-12-17,Efficient,8,2.59,2.88,0.41,1.0,0.909,3.58,3.92,0.38,0.88,0.842,3.08,2.78,0.58,0.62,0.597,1.73,1.62,0.66,0.71,0.692,3.45,3.47,0.2,0.68,0.637,4.71,4.08,0.77,0.76,0.693,3.06,3.3,0.38,0.84,0.821,1.57,1.77,0.85,0.7,1.071,,,,,,,,,,,1.203,0.9887142857142858,0.15955846816106228,1.276,0.11204017136723775,0.13949999999999999,0.051250000000000004,improving,8,23.77,23.82,1.002103491796382,0.7827500000000001,0.15858188511212207,5.142857142857143,2.1157009420498154,15.078571428571427,0.787143039959953,0.1741595034578335,0.0,0.0,0.0,0.0,0.7737499999999999,0.12477837495793434,0.7978095238095236,0.09749735674060754,0.0,0.9979009235936188,1.32353473462286,0.2816586762189096,0.5714285714285714,0.15955846816106228,0.16137975395570522,0.2142857142857143,0,-0.07299999999999995,62.16216216216216
10,2025-12-18,Normal,4,2.25,1.59,0.67,0.6,0.538,1.82,1.51,0.73,0.82,0.718,0.91,0.82,0.75,0.71,0.752,1.14,1.15,0.63,0.87,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.1596162063618018,0.9935,0.10174641680832475,-0.11000000000000008,0.05278571428571434,improving,9,6.12,5.07,0.8284313725490197,0.72375,0.14374137655293737,5.0,2.160246899469287,13.084285714285715,0.7783560590321237,0.16960059989073772,0.0,0.0,0.0,0.0,0.75,0.12027745701779145,0.7852380952380952,0.11023059017103563,0.0,1.2071005917159763,1.3354532538807102,0.27343697677906437,0.7142857142857143,0.1596162063618018,0.16122849127454728,0.010000000000000009,0,0.00649999999999995,57.57575757575758
