run_id,date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency,eff_rolling_mean,eff_rolling_std,eff_daytype_mean,eff_daytype_std,eff_trend_short,eff_trend_medium,eff_trend_direction,days_since_improvement,total_planned,total_achieved,completion_ratio,avg_task_score,task_score_variance,task_count_mean,task_count_std,workload_intensity_mean,completion_ratio_mean,completion_ratio_std,importance_weighted_effort,importance_effort_ratio,importance_effort_ratio_mean,importance_effort_ratio_std,task_quality_mean,task_quality_std,task_quality_mean_baseline,task_quality_std_baseline,quality_weighted_completion,planning_pressure,planning_pressure_mean,planning_pressure_std,overplanning_frequency,efficiency_volatility,efficiency_cv,efficiency_momentum,improvement_streak,daytype_performance_delta,daytype_percentile,efficiency_threshold_overall,is_efficiency_drop_overall,drop_magnitude_overall,efficiency_threshold_daytype,is_efficiency_drop_daytype,drop_magnitude_daytype,is_efficiency_drop,drop_magnitude,drop_type,drop_severity,drop_during_decline,consecutive_drops,drop_streak_warning,days_since_last_drop,recovery_success,efficiency_percentile,is_bottom_quintile,daytype_efficiency_percentile,is_daytype_underperformer,anomaly_score,drop_context,early_warning,dev_completion_raw,dev_completion,dev_overload_raw,dev_overload,dev_planning_raw,dev_planning,dev_prioritization_raw,dev_prioritization,dev_quality_raw,dev_quality,dev_inconsistency_raw,dev_inconsistency,dev_intensity_raw,dev_intensity,dev_momentum,dev_daytype,dev_completion_normalized,dev_overload_normalized,dev_planning_normalized,dev_prioritization_normalized,dev_quality_normalized,dev_inconsistency_normalized,dev_intensity_normalized,dev_momentum_normalized,dev_daytype_normalized,primary_cause,secondary_cause,contributing_causes,cause_count,overall_severity,severity_level,primary_cause_name,secondary_cause_name
18,2025-12-26,Normal,3,3.88,3.03,0.42,0.73,0.555,1.92,1.42,0.87,0.6,0.634,3.1,2.0,0.99,0.91,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819,1.175857142857143,0.2106746532542762,0.9982857142857144,0.1251408730001437,-0.293,-0.0302142857142857,declining,17,8.9,6.449999999999999,0.7247191011235954,0.6173333333333334,0.0558957362715022,4.714285714285714,1.2535663410560176,13.322857142857144,0.995162635150375,0.1544279780967044,0.0,0.0,0.0,0.0,0.7466666666666667,0.1556705923844749,0.8003605442176871,0.1025648812714437,0.0,1.3798449612403103,1.0285135515056478,0.1800915783238932,0.1428571428571428,0.2106746532542762,0.1791668779953752,-0.356857142857143,0,-0.1792857142857143,9.090909090909092,0.8598451629757287,True,0.0408451629757287,0.848116666685542,True,0.029116666685542,True,0.0408451629757287,both,none,True,1,False,0,False,7.000000000000001,True,9.090909090909092,True,1.408451629757287,NONE drop | below both overall AND day-type baseline | (0.041 below threshold) | during declining trend | ⚠️ bottom 10% for this day type,False,-0.27044353402677956,-1.751259955352294,-1.7142857142857144,-1.3675269175156552,0.3513314097346625,1.9508486349250374,0.0,0.0,0.0536938775510204,0.5235113314168087,-0.06869143807939766,-1.2145876397005204,-4.4228571428571435,-1.0079672576068364,0.0302142857142857,0.1792857142857143,0.9579272471056641,0.9341987329938343,0.9721101723877633,0,0.7107325859597404,0.8371306706507788,0.9047340736411456,0.2896268401232455,0.33139688407710605,dev_planning,dev_completion,"completion, overload, planning, quality, inconsistency, intensity, daytype",7,5.937857206939279,severe,Over-Ambitious Planning,Low Completion Rate
21,2025-12-29,Chill,3,1.13,0.49,0.74,0.58,0.503,4.82,2.06,0.26,0.68,0.43,3.87,1.73,0.53,0.95,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776,1.0722857142857145,0.2586082715135732,0.9016666666666668,0.0950487594167681,-0.0814999999999998,-0.1043214285714285,declining,20,9.82,4.279999999999999,0.4358452138492871,0.4853333333333333,0.0489523577913601,4.571428571428571,1.3972762620115435,12.732857142857142,0.853646301129297,0.2584782690859382,0.0,0.0,0.0,0.0,0.7366666666666667,0.1913983629327412,0.7486700680272109,0.1124882270796872,0.0,2.294392523364486,1.2947646674296485,0.4981157379202643,0.4285714285714285,0.2586082715135732,0.2411747802551309,-0.2962857142857142,0,-0.1256666666666667,3.333333333333333,0.6843733070153547,False,0.0,0.7876081553665452,True,0.0116081553665451,True,0.0116081553665451,daytype,none,True,1,False,0,False,4.0,True,3.333333333333333,True,1.1160815536654514,NONE drop | below Chill baseline | (0.012 below threshold) | during declining trend | ⚠️ bottom 10% for this day type,False,-0.41780108728000986,-1.616387670644376,-1.5714285714285712,-1.124636991375145,0.9996278559348377,2.0068184557036677,0.0,0.0,0.01200340136054423,0.10670806778776025,-0.07563481655953977,-1.337359005616538,-2.912857142857142,-0.6638389012468793,0.1043214285714285,0.1256666666666667,0.8841530275751793,0.7682733253465416,1.0,0,0.1448696454311878,0.9217484228216549,0.595850379894798,1.0,0.23228589032655592,dev_planning,dev_completion,"completion, overload, planning, inconsistency, intensity, momentum",6,5.547180691395917,severe,Over-Ambitious Planning,Low Completion Rate
22,2025-12-30,Efficient,6,3.71,3.08,0.48,0.44,0.469,0.96,0.73,0.65,0.9,0.582,4.91,4.62,0.38,0.65,0.565,1.38,1.13,0.2,0.96,0.534,4.12,4.11,0.95,0.81,0.933,3.35,3.03,0.47,0.69,0.588,,,,,,,,,,,,,,,,,,,,,0.969,1.0122857142857142,0.2184908192470291,1.2702857142857142,0.1576712976265436,-0.0099999999999999,-0.0701428571428572,declining,21,18.43,16.700000000000003,0.90613130765057,0.6118333333333333,0.1632536880645171,4.714285714285714,1.4960264830861911,13.54142857142857,0.8145065405151095,0.2184487037615055,0.0,0.0,0.0,0.0,0.7416666666666667,0.1894641566805359,0.7494795918367346,0.1316909014943221,0.0,1.1035928143712572,1.3313666554150012,0.468282401023373,0.4285714285714285,0.2184908192470291,0.2158390819544459,-0.0432857142857142,1,-0.3012857142857142,45.94594594594595,0.6845494854151706,False,0.0,1.081080157133862,True,0.1120801571338619,True,0.1120801571338619,daytype,none,True,2,False,0,False,42.0,False,45.94594594594595,False,3.12080157133862,NONE drop | below Efficient baseline | (0.112 below threshold) | ⚠️ 2 consecutive drops | during declining trend,False,0.09162476713546053,0.4194337872358958,1.2857142857142856,0.859419469006961,-0.22777384104374399,-0.4864027359259553,0.0,0.0,0.00781292517006793,0.05932775219406321,0.038666513713617234,0.6836932074793153,4.88857142857143,1.1141033448096234,0.0701428571428572,0.3012857142857142,0.2294274199110312,0.5870952657481022,0.24237505617089006,0,0.08054489789542567,0.4712221124180571,1.0,0.672372475179734,0.5569052020068657,dev_intensity,dev_overload,"overload, inconsistency, intensity, momentum, daytype",5,3.8399424293301063,severe,High Workload Intensity,Task Overload
34,2026-01-11,Normal,4,3.98,2.27,0.48,0.7,0.423,2.02,1.65,0.2,0.72,0.506,1.25,0.73,0.2,0.8,0.421,1.43,0.81,0.62,0.62,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,1.0512857142857144,0.1290822919506701,0.929142857142857,0.1279901409893598,-0.1435,-0.0201785714285714,declining,33,8.68,5.46,0.6290322580645161,0.44225,0.0425313609783024,4.571428571428571,1.812653934349932,11.982857142857144,0.850529225470421,0.1547958949664562,0.0,0.0,0.0,0.0,0.71,0.0739369100427294,0.7902380952380952,0.1089333229267792,0.0,1.5897435897435896,1.2113174929280344,0.2310168957581816,0.4285714285714285,0.1290822919506701,0.1227851669594633,-0.2342857142857144,0,-0.1121428571428571,6.0606060606060606,0.8576622763597093,True,0.0406622763597093,0.7755546879556253,False,0.0,True,0.0406622763597093,overall,none,True,1,False,0,False,6.0,True,6.0606060606060606,True,1.4066227635970932,NONE drop | below overall baseline | (0.041 below threshold) | during declining trend | ⚠️ bottom 10% for this day type,False,-0.22149696740590485,-1.4308969075304132,-0.5714285714285712,-0.31524416249564,0.3784260968155553,1.6380883985718309,0.0,0.0,0.08023809523809522,0.7365798920136513,-0.08205581337259746,-1.450893728163501,-3.3028571428571443,-0.7527197350087229,0.0201785714285714,0.1121428571428571,0.7826908457156376,0.2153527608232676,0.8162613782607725,0,1.0,1.0,0.6756282875511398,0.19342690859294748,0.2072880908370742,dev_planning,dev_inconsistency,"completion, planning, quality, inconsistency, intensity",5,4.890648271780838,severe,Over-Ambitious Planning,Inconsistent Performance
35,2026-01-12,Efficient,5,1.51,0.92,0.69,0.55,0.388,2.85,1.89,0.82,0.79,0.527,3.79,2.26,0.91,0.72,0.476,3.96,2.31,0.58,0.76,0.384,4.22,3.3,0.2,0.9,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,0.656,1.012,0.1961937817567108,1.1969999999999998,0.2935790637403606,-0.2075000000000001,-0.0797142857142857,declining,34,16.33,10.68,0.6540110226576853,0.4542,0.0648706405086307,4.857142857142857,1.6761634196950523,12.957142857142856,0.8440645240354591,0.1628988864699267,0.0,0.0,0.0,0.0,0.744,0.1273970172335286,0.7755714285714285,0.1131115331369639,0.0,1.5290262172284643,1.2254533542506831,0.2489638471357214,0.4285714285714285,0.1961937817567108,0.1938673732773822,-0.356,0,-0.5409999999999998,2.702702702702702,0.7177093273649338,True,0.0617093273649337,0.8447051235115672,True,0.1887051235115672,True,0.1887051235115672,both,none,True,2,False,0,False,1.0,True,2.702702702702702,True,3.887051235115672,NONE drop | below both overall AND day-type baseline | (0.189 below threshold) | ⚠️ 2 consecutive drops | during declining trend | ⚠️ bottom 10% for this day type,False,-0.19005350137777377,-1.1666961358441217,0.14285714285714324,0.0852286484590706,0.3035728629777812,1.2193451638473838,0.0,0.0,0.03157142857142847,0.27911767877108895,-0.05971653384226916,-1.0558952602905523,3.3728571428571428,0.7686727051711046,0.0797142857142857,0.5409999999999998,0.6381748261885828,0.05822225097395875,0.6076011312243162,0,0.37893741303206246,0.7277550655809049,0.6899473991817648,0.7641218760698395,1.0,dev_planning,dev_completion,"completion, planning, quality, inconsistency, intensity, momentum, daytype",7,4.86475996225143,severe,Over-Ambitious Planning,Low Completion Rate
50,2026-01-27,Chill,4,1.39,0.87,0.68,0.72,0.628,4.33,2.7,0.48,0.81,0.591,2.95,1.4,0.27,0.77,0.468,2.35,1.53,0.42,0.75,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,0.9401428571428572,0.0956720589155613,1.0424285714285717,0.0609449400220045,0.0145,-0.0038571428571428,stable,49,11.02,6.5,0.5898366606170599,0.56575,0.0687331797605785,4.714285714285714,2.288688541085317,12.334285714285716,0.7937610518478861,0.1115452506707647,0.0,0.0,0.0,0.0,0.7625,0.0377491721763537,0.7800595238095237,0.1010983304193638,0.0,1.6953846153846153,1.284722217970348,0.2082608291862829,0.4285714285714285,0.0956720589155613,0.1017633205301518,-0.0151428571428571,0,-0.1174285714285714,26.666666666666668,0.7966347687695152,False,0.0,0.9692946434021664,True,0.0442946434021662,True,0.0442946434021662,daytype,none,False,1,False,0,False,36.0,False,26.666666666666668,False,0.4429464340216626,NONE drop | below Chill baseline | (0.044 below threshold),False,-0.20392439123082629,-1.8281763679273666,-0.7142857142857144,-0.3120938919661797,0.41066239741426735,1.9718657561232626,0.0,0.0,0.017559523809523747,0.17368757462843815,-0.055853994590321365,-0.987598649177952,-1.3142857142857167,-0.2995251540692154,0.0038571428571428,0.1174285714285714,1.0,0.21320071635561202,0.9825830286336742,0,0.2358027642508861,0.6806829680269041,0.268848626534191,0.036973639164669114,0.21705835753894906,dev_planning,dev_completion,"completion, planning, inconsistency",3,3.635150100504885,severe,Over-Ambitious Planning,Low Completion Rate
58,2026-02-04,Chill,5,3.41,2.22,0.44,1.0,0.636,1.02,0.51,0.87,0.75,0.616,2.9,1.71,0.58,0.75,0.581,1.47,0.88,0.8,0.88,0.688,3.16,1.64,0.25,0.57,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.9174285714285714,0.0932824691333736,1.0058571428571428,0.0871998252510263,0.0109999999999999,-0.0140357142857142,stable,57,11.96,6.96,0.5819397993311036,0.5926,0.0926649879943875,4.571428571428571,1.9023794624226849,12.192857142857145,0.7721382903502586,0.109223136144102,0.0,0.0,0.0,0.0,0.7899999999999999,0.1610900369358701,0.8002380952380952,0.112196155624106,0.0,1.7183908045977012,1.3195905760742723,0.204734096217617,0.8571428571428571,0.0932824691333736,0.1016781818644683,-0.0574285714285713,1,-0.1458571428571428,10.0,0.777504867728511,False,0.0,0.9012173525559112,True,0.0412173525559111,True,0.0412173525559111,daytype,none,True,1,False,0,False,19.0,True,10.0,True,1.412173525559112,NONE drop | below Chill baseline | (0.041 below threshold) | during declining trend | ⚠️ bottom 10% for this day type,False,-0.19019849101915498,-1.7413754789847755,0.4285714285714288,0.2252817784447915,0.3988002285234289,1.947893564829251,0.0,0.0,0.010238095238095268,0.09125174727373238,-0.031922186356512366,-0.5644414218846486,-0.23285714285714398,-0.05306804360139376,0.0140357142857142,0.1458571428571428,0.9525205059722992,0.15389675281277423,0.9706376574787103,0,0.12388574309878281,0.3890301618431435,0.04763296317942746,0.13454296473810268,0.26960654871930284,dev_planning,dev_completion,"completion, planning, inconsistency",3,3.041753297842543,severe,Over-Ambitious Planning,Low Completion Rate
63,2026-02-09,Efficient,6,3.1,2.45,0.66,0.86,0.606,1.59,1.13,0.81,0.75,0.562,1.82,1.08,0.73,0.66,0.413,2.97,1.84,0.86,0.7,0.478,4.2,3.11,1.0,0.97,0.719,1.86,1.2,0.33,0.62,0.38,,,,,,,,,,,,,,,,,,,,,0.705,0.8874285714285716,0.104646798235551,0.941,0.2176847874029484,-0.1429999999999999,-0.0056071428571428,stable,62,15.54,10.81,0.6956241956241955,0.5263333333333334,0.1275408431313932,4.857142857142857,1.3451854182691,11.854285714285714,0.7397653700416306,0.1213631251909301,0.0,0.0,0.0,0.0,0.7599999999999999,0.1322119510483072,0.7942108843537415,0.1172283205505433,0.0,1.437557816836263,1.384486206746162,0.2341882509615267,0.7142857142857143,0.104646798235551,0.1179213759898353,-0.1824285714285716,0,-0.236,5.405405405405405,0.730458374075245,True,0.025458374075245,0.679778255116462,False,0.0,True,0.025458374075245,overall,none,False,1,False,0,False,2.0,True,5.405405405405405,True,0.2545837407524509,NONE drop | below overall baseline | (0.025 below threshold) | ⚠️ bottom 10% for this day type,False,-0.044141174417435036,-0.36371158330004727,1.1428571428571432,0.8495907904857457,0.053071610090100974,0.22661943915717517,0.0,0.0,0.034210884353741644,0.29183122468253336,0.0029536687804933293,0.05222615354783915,3.685714285714285,0.8399727146723633,0.0056071428571428,0.236,0.19894775453879926,0.5803810000880131,0.11292473343220959,0,0.3961976532983129,0.03599585037420039,0.7539450613676211,0.05374871619308405,0.4362292051756009,dev_overload,dev_intensity,"overload, quality, intensity, daytype",4,2.568369974467841,severe,Task Overload,High Workload Intensity
86,2026-03-04,Normal,5,3.4,2.06,0.33,0.6,0.408,3.07,1.81,0.58,0.74,0.453,4.86,3.54,0.32,0.74,0.502,0.89,0.64,0.56,0.72,0.546,4.43,2.72,0.34,0.84,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,0.822,0.8657142857142857,0.0785975281327041,0.9598571428571429,0.0981044147348945,0.0365,-0.0068571428571428,stable,85,16.65,10.77,0.646846846846847,0.4744,0.0521660809338788,5.714285714285714,0.4879500364742702,17.25,0.7815483107738693,0.0751541591632083,0.0,0.0,0.0,0.0,0.728,0.0855569985448297,0.7833809523809523,0.1152088594895228,0.0,1.545961002785515,1.2904412420653717,0.1332870358189878,0.8571428571428571,0.0785975281327041,0.0907892239156648,-0.0437142857142857,0,-0.1378571428571429,13.636363636363637,0.7478179935152295,False,0.0,0.8421318451752695,True,0.0201318451752695,True,0.0201318451752695,daytype,none,False,1,False,0,False,8.5,True,13.636363636363637,True,0.2013184517526955,NONE drop | below Normal baseline | (0.020 below threshold),False,-0.1347014639270223,-1.7923354532448201,-0.7142857142857144,-1.4638501094227891,0.2555197607201434,1.9170638700912768,0.0,0.0,0.05538095238095231,0.4807004654532554,-0.07242109341702106,-1.2805346252358127,-0.6000000000000014,-0.13673974424898971,0.0068571428571428,0.1378571428571429,0.9803952642035407,1.0,0.9552751842812212,0,0.6526114419701623,0.8825833349329286,0.12273524254821767,0.0657309140705233,0.2548191180353844,dev_planning,dev_completion,"completion, overload, planning, quality, inconsistency",5,4.914150500041979,severe,Over-Ambitious Planning,Low Completion Rate
98,2026-03-16,Efficient,4,4.63,3.58,0.81,0.81,0.636,4.06,3.63,0.67,0.84,0.698,1.72,1.19,0.51,0.61,0.428,3.49,2.94,0.88,0.82,0.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839,1.106142857142857,0.1562779879695453,1.0315714285714286,0.2129959758171169,-0.1299999999999998,-0.0526071428571428,declining,97,13.9,11.34,0.8158273381294965,0.6234999999999999,0.1362583330785069,5.285714285714286,0.9511897312113442,14.805714285714286,0.9319042362996852,0.0961759190886794,0.0,0.0,0.0,0.0,0.77,0.1073933579572467,0.7447278911564627,0.1100156803384016,0.0,1.2257495590828924,1.0827995133157164,0.1102357200209893,0.1428571428571428,0.1562779879695453,0.1412819211916333,-0.2671428571428571,0,-0.1925714285714286,10.81081081081081,0.8717258751885391,True,0.032725875188539,0.7759762575908883,False,0.0,True,0.032725875188539,overall,none,True,1,False,0,False,12.0,True,10.81081081081081,True,1.3272587518853909,NONE drop | below overall baseline | (0.033 below threshold) | during declining trend,False,-0.11607689817018874,-1.2069226815826897,-1.2857142857142856,-1.3516906706687455,0.14295004576717596,1.2967670165347287,0.0,0.0,-0.025272108843537366,-0.22971369868187774,0.011671158727607045,0.2063669873259796,-0.9057142857142857,-0.2064118996520459,0.0526071428571428,0.1925714285714286,0.6601784722504632,0.923380516876643,0.646180531601715,0,0.3118652859961868,0.14223439203034732,0.18527177089421387,0.5042793563847995,0.35595458146289954,dev_overload,dev_planning,"completion, overload, planning, quality, momentum, daytype",6,3.7293449074972687,severe,Task Overload,Over-Ambitious Planning
