date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency
1,Chill,5,2,1.150296142740238,0.7,0.76,0.31,5,4.696892115416102,0.5,0.89,0.42,5.0,3.792933413244606,0.5,0.88,0.33,1.0,0.5495958568778383,1.0,0.72,0.4,1.0,0.6578837450779735,0.5,0.98,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2,Normal,2,2,1.9539667177634947,1.0,0.88,0.86,3,2.1008996181537807,1.0,0.85,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
3,Efficient,5,3,1.1061399992929395,1.0,0.74,0.27,5,3.1752352716230154,0.5,0.96,0.3,3.0,1.1398183228174608,0.7,0.94,0.25,3.0,2.201194260076253,1.0,0.67,0.49,1.0,0.13817140774310954,1.0,0.89,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
4,Chill,2,3,1.920270006817676,0.7,0.84,0.38,5,4.042638315773746,0.7,0.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
5,Efficient,5,1,0.0,0.7,0.77,0.0,5,3.7918428643363367,1.0,0.85,0.64,4.0,2.092732151621462,0.7,0.69,0.25,2.0,1.6782847393945732,0.7,0.79,0.46,3.0,2.990808752154658,0.5,0.63,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
6,Chill,3,4,3.7629527787672905,1.0,0.63,0.59,4,2.9790882064142465,0.5,0.95,0.35,3.0,2.3347853084622816,0.7,0.65,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
7,Chill,3,1,0.646578664745636,0.5,0.8,0.26,5,4.9743150632174435,0.7,0.87,0.61,3.0,2.61700701902168,0.5,0.7,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
8,Normal,5,2,0.5112958708631661,0.5,0.92,0.12,2,1.2593161674416433,0.5,0.95,0.3,2.0,0.15973732357262516,0.5,0.89,0.04,1.0,0.0,0.5,0.69,0.0,2.0,1.6584987560861237,1.0,0.96,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
9,Normal,2,1,0.0,1.0,0.82,0.0,3,2.8012569687503777,0.5,0.98,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
10,Normal,4,2,1.1118027135507567,0.5,0.82,0.23,3,1.5799327569878492,1.0,0.97,0.51,3.0,1.4462870615871046,0.7,0.77,0.26,5.0,3.2765040051029763,0.5,0.67,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
11,Efficient,2,5,3.7671438995776114,0.7,0.61,0.32,2,1.7285835006777979,0.5,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
12,Efficient,2,1,0.0,0.7,0.7,0.0,3,1.335805343178133,0.7,0.84,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
13,Efficient,2,3,1.5515000949909838,0.7,0.89,0.32,3,2.9984122787755028,0.7,0.74,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
14,Chill,5,3,2.157240566195473,0.5,0.91,0.33,4,3.657029140044806,0.5,0.98,0.45,2.0,1.3751537101233,0.5,0.77,0.26,2.0,0.5285030276108627,0.5,0.72,0.1,1.0,0.533734321771484,0.7,0.69,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
15,Chill,5,2,1.6376748660413816,1.0,0.86,0.7,2,0.08684021728743985,0.5,0.68,0.01,5.0,3.6641563312129968,1.0,0.66,0.48,3.0,1.795592250980668,0.7,0.88,0.37,1.0,0.0,1.0,0.91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
16,Normal,2,2,0.5053288007079133,0.7,0.69,0.12,5,3.065319093549491,0.7,0.92,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
17,Normal,2,2,0.3491147885025483,0.5,0.85,0.07,2,1.269887426755587,0.7,0.66,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
18,Efficient,3,2,1.9650885335057935,0.7,0.94,0.65,3,1.9079469511278349,0.7,0.66,0.29,5.0,3.578196308450117,1.0,0.86,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
19,Normal,5,1,0.0,0.7,0.86,0.0,4,3.9465967082450586,0.5,0.84,0.41,3.0,1.4994531646145601,0.5,0.72,0.18,4.0,2.4795754422769103,1.0,0.63,0.39,4.0,2.6955075559178954,0.7,0.98,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
20,Efficient,4,5,3.354466473268225,0.5,0.7,0.23,1,0.0,0.5,0.75,0.0,2.0,1.823841755238993,0.5,0.7,0.32,5.0,3.7276557615444137,0.7,0.92,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
21,Efficient,5,4,2.2099743301287162,0.7,0.67,0.26,3,2.6727473075499635,0.5,0.64,0.29,3.0,1.6856690125289557,1.0,0.72,0.4,3.0,1.0599934908325301,0.7,0.66,0.16,5.0,3.8317907800922892,1.0,0.86,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
22,Normal,2,2,1.6651202459741892,1.0,0.72,0.6,1,0.5888756249146654,1.0,0.97,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58
23,Chill,3,3,2.938146751380981,0.7,0.87,0.6,4,2.818601847705743,1.0,0.96,0.68,1.0,0.0,0.7,0.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
24,Normal,5,2,0.9985728723578549,0.7,0.72,0.25,3,1.4750575552687508,0.7,0.88,0.3,4.0,2.5455692542797976,1.0,0.94,0.6,3.0,1.0867506615841696,0.5,0.72,0.13,3.0,2.2537914965048174,1.0,0.96,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
25,Efficient,3,2,1.583706051834481,1.0,0.93,0.74,1,0.0,0.7,0.72,0.0,4.0,3.9797997523486988,0.5,0.68,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
26,Efficient,5,4,2.1941937233402253,1.0,0.67,0.37,5,4.70429826598327,1.0,0.69,0.65,4.0,2.8798963791563192,0.5,0.96,0.35,3.0,2.0583505482305866,1.0,0.9,0.62,5.0,3.336118728192143,0.5,0.79,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
27,Chill,3,1,0.0,0.7,0.7,0.0,4,3.6662285715050853,1.0,0.99,0.91,2.0,1.2694826471030607,0.7,0.98,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
28,Chill,3,5,4.4341507928313595,0.5,0.77,0.34,4,3.9545425020727274,1.0,0.94,0.93,4.0,3.6512261282976795,0.5,0.66,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
29,Efficient,2,5,3.3932753908166484,0.7,0.76,0.36,1,0.0,0.7,0.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
30,Chill,3,3,1.6305840241262304,0.5,0.99,0.27,5,3.3882815838157168,0.5,0.81,0.27,2.0,1.2474343138055317,0.5,0.9,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
31,Normal,3,4,3.579939923117723,1.0,0.65,0.58,1,0.0,1.0,0.79,0.0,3.0,1.463729960563569,0.5,0.85,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
32,Normal,2,5,4.206465872616155,0.5,0.77,0.32,3,2.1313897511461652,1.0,0.77,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
